release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,marvel_flag
2015,7,6.5,PG-13,Batman v Superman: Dawn of Justice,250000000,151,Warner Bros.,873634919,330360194,Action,Adventure,Sci-Fi,0
2015,8,8.2,PG,Inside Out,175000000,95,Walt Disney ,857611174,356461711,Animation,Adventure,Comedy,0
2015,9,7.4,PG-13,Mission: Impossible - Rogue Nation,150000000,131,Paramount Pictures,682714267,195042377,Action,Adventure,Thriller,0
2015,10,6.5,PG-13,The Hunger Games: Mockingjay - Part 2,160000000,137,Lionsgate,658344137,281723902,Action,Adventure,Sci-Fi,0
2014,1,5.6,PG-13,Transformers: Age of Extinction,210000000,165,Paramount Pictures,1104054072,245439076,Action,Adventure,Sci-Fi,0
2014,2,7.4,PG-13,The Hobbit: The Battle of the Five Armies,250000000,144,Warner Bros.,956019788,255119788,Adventure,Fantasy,,0
2014,3,8,PG-13,Guardians of the Galaxy,170000000,121,Walt Disney ,772776600,333176600,Action,Adventure,Comedy,1
2014,4,7,PG,Maleficent,180000000,97,Walt Disney ,758410378,241410378,Action,Adventure,Fantasy,0
2014,5,6.6,PG-13,The Hunger Games: Mockingjay - Part 1,125000000,123,Lionsgate,755356711,337135885,Action,Adventure,Sci-Fi,0
2014,6,8,PG-13,X-Men: Days of Future Past,200000000,132,Twentieth Century Fox,746045700,233921534,Action,Adventure,Sci-Fi,1
2014,7,7.7,PG-13,Captain America: The Winter Soldier,170000000,136,Walt Disney ,714421503,259766572,Action,Adventure,Sci-Fi,1
2014,8,7.6,PG-13,Dawn of the Planet of the Apes,170000000,130,Twentieth Century Fox,710644566,208545589,Action,Adventure,Drama,0
2014,9,6.6,PG-13,The Amazing Spider-Man 2,200000000,142,Sony Pictures,708982323,202853933,Action,Adventure,Sci-Fi,1
2014,10,8.6,PG-13,Interstellar,165000000,169,Paramount Pictures,677463813,188020017,Adventure,Drama,Sci-Fi,0
2013,1,7.5,PG,Frozen ,150000000,102,Walt Disney ,1280802282,400738009,Animation,Adventure,Comedy,0
2013,2,7.2,PG-13,Iron Man 3,200000000,130,Walt Disney ,1214811252,409013994,Action,Adventure,Sci-Fi,1
2013,3,7.3,PG,Despicable Me 2,76000000,98,Universal Pictures,970766005,368065385,Animation,Adventure,Comedy,0
2013,4,7.8,PG-13,The Hobbit: The Desolation of Smaug,225000000,161,Warner Bros.,958366855,258366855,Adventure,Fantasy,,0
2013,5,7.5,PG-13,The Hunger Games: Catching Fire,130000000,146,Lionsgate,865011746,424668047,Action,Adventure,Sci-Fi,0
2013,6,7.1,PG-13,Fast & Furious 6,160000000,130,Universal Pictures,788679850,238679850,Action,Adventure,Thriller,0
2013,7,7.3,G,Monsters University,200000000,104,Walt Disney ,743559607,268492764,Animation,Adventure,Comedy,0
2013,8,7.7,PG-13,Gravity,100000000,91,Warner Bros.,723192705,274092705,Drama,Sci-Fi,Thriller,0
